Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
345,Richaun Holmes,31,WAS,PF,3,0,6.7,1.7,3.3,.500,0.0,0.3,.000,1.7,3.0,.556,.500,0.7,0.7,1.000,0.7,1.0,1.7,0.0,0.0,0.7,0.7,0.3,4.0,,holmeri01
346,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,,richajo01
347,Mark Williams,23,CHO,C,1,0,9.0,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,2.0,2.0,1.000,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,,willima07
348,Jock Landale,29,HOU,C,14,0,11.1,1.5,3.4,.447,0.2,0.4,.500,1.3,2.9,.439,.479,0.7,1.4,.526,1.4,1.9,3.3,1.0,0.2,0.4,0.5,1.0,3.9,,landajo01
349,Rob Dillingham,20,MIN,PG,11,0,8.4,1.6,3.3,.500,0.5,1.1,.500,1.1,2.2,.500,.583,0.0,0.0,,0.1,0.7,0.8,1.5,0.0,0.0,1.1,0.4,3.8,,dilliro01
350,Jett Howard,21,ORL,SF,22,0,10.2,1.4,3.7,.366,1.0,3.0,.323,0.4,0.8,.529,.494,0.1,0.1,1.000,0.5,0.8,1.3,0.4,0.1,0.3,0.3,0.9,3.8,,howarje01
351,Damion Lee,32,PHO,SG,4,0,9.3,1.0,3.5,.286,0.3,2.3,.111,0.8,1.3,.600,.321,1.5,1.5,1.000,0.0,1.3,1.3,1.3,0.5,0.0,0.8,0.3,3.8,,leeda03
352,Reed Sheppard,20,HOU,SG,22,0,11.7,1.5,4.0,.371,0.7,2.2,.333,0.8,1.9,.415,.461,0.1,0.1,1.000,0.3,0.7,1.0,1.4,0.5,0.3,0.6,1.0,3.8,,sheppre01
353,Nicolas Batum,36,LAC,PF,24,0,17.6,1.3,3.3,.380,1.0,2.6,.371,0.3,0.7,.412,.525,0.3,0.3,.750,0.8,1.9,2.7,1.5,0.3,0.5,0.4,1.3,3.7,,batumni01
354,Bruno Fernando,26,TOR,C,14,0,8.6,1.6,3.2,.511,0.0,0.0,,1.6,3.2,.511,.511,0.4,0.6,.750,1.5,1.6,3.1,1.2,0.1,0.5,0.8,1.7,3.7,,fernabr01
355,Patty Mills,36,UTA,PG,9,0,15.3,1.2,3.4,.355,0.8,2.7,.292,0.4,0.8,.571,.468,0.3,0.3,1.000,0.1,0.8,0.9,1.4,0.7,0.2,0.9,0.9,3.6,,millspa02
356,Rayan Rupert,20,POR,SG,19,0,10.8,1.4,3.2,.433,0.5,1.4,.333,0.9,1.7,.515,.508,0.4,0.6,.667,0.8,0.8,1.6,0.4,0.4,0.1,0.6,0.8,3.6,,ruperra01
357,Dru Smith,27,MIA,SG,7,0,12.1,1.4,3.0,.476,0.7,1.1,.625,0.7,1.9,.385,.595,0.0,0.0,,0.9,2.0,2.9,1.4,0.9,0.6,0.9,1.0,3.6,,smithdr01
358,Ousmane Dieng,21,OKC,SF,16,0,11.6,1.3,3.7,.339,0.6,2.3,.250,0.7,1.4,.478,.415,0.4,0.7,.636,0.6,2.1,2.6,0.8,0.7,0.3,0.3,1.1,3.5,,diengou01
359,Andre Jackson Jr.,23,MIL,SG,20,12,18.3,1.4,3.5,.386,0.6,1.8,.343,0.8,1.8,.429,.471,0.2,0.4,.500,0.8,2.5,3.2,1.4,0.7,0.3,1.5,2.5,3.5,,jacksan01
360,Cam Reddish,25,LAL,SF,15,8,19.5,1.2,2.5,.486,0.6,1.3,.450,0.6,1.1,.529,.608,0.5,0.8,.667,0.4,1.9,2.3,0.6,1.0,0.3,0.5,1.7,3.5,,reddica01
361,Daniel Theis,32,NOP,C,17,7,14.3,1.4,3.3,.429,0.2,1.1,.222,1.2,2.2,.526,.464,0.5,0.6,.800,0.7,2.7,3.4,1.2,0.3,0.6,0.6,1.5,3.5,,theisda01
362,Gabe Vincent,28,LAL,PG,22,1,18.0,1.4,4.0,.341,0.6,2.5,.236,0.8,1.5,.515,.415,0.2,0.4,.500,0.3,0.8,1.1,0.7,0.7,0.0,0.4,1.6,3.5,,vincega01
363,Johnny Furphy,20,IND,SG,13,0,10.1,1.2,3.0,.385,0.7,1.8,.391,0.5,1.2,.375,.500,0.4,0.4,1.000,0.7,0.8,1.5,0.4,0.3,0.3,0.6,0.7,3.4,,furphjo01
364,Dario Šarić,30,DEN,C,10,3,13.6,1.2,4.0,.300,0.5,1.9,.263,0.7,2.1,.333,.363,0.5,0.6,.833,0.9,2.6,3.5,1.1,0.6,0.0,1.1,1.4,3.4,,saricda01
365,Tristan Thompson,33,CLE,PF,8,0,7.3,1.6,2.4,.684,0.0,0.1,.000,1.6,2.3,.722,.684,0.0,0.8,.000,0.4,1.8,2.1,0.5,0.0,0.3,0.5,0.8,3.3,,thomptr01
366,Marvin Bagley III,25,WAS,C,13,0,5.4,1.3,2.6,.500,0.0,0.4,.000,1.3,2.2,.586,.500,0.6,0.8,.727,0.9,1.2,2.1,0.2,0.2,0.1,0.6,0.2,3.2,,baglema01
367,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,0.3,0.6,.600,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,,brownmo01
368,Isaiah Collier,20,UTA,PG,14,1,17.1,1.2,3.8,.321,0.2,1.6,.136,1.0,2.2,.452,.349,0.5,1.1,.438,0.1,1.5,1.6,3.1,0.9,0.1,2.4,1.7,3.1,,colliis01
369,Moussa Diabaté,23,CHO,PF,21,4,20.1,1.4,2.6,.545,0.0,0.0,,1.4,2.6,.545,.545,0.2,0.7,.333,3.7,4.3,8.0,0.8,0.7,1.0,1.0,1.8,3.1,,diabamo01
370,Tyler Kolek,23,NYK,PG,14,0,7.4,1.1,2.6,.417,0.6,1.5,.429,0.4,1.1,.400,.542,0.3,0.3,1.000,0.1,0.7,0.9,0.8,0.4,0.1,0.5,0.6,3.1,,kolekty01
371,Jabari Walker,22,POR,SF,17,0,10.2,1.2,3.2,.389,0.1,0.9,.133,1.1,2.3,.487,.407,0.5,0.5,.889,1.1,2.0,3.1,0.6,0.3,0.1,0.6,1.1,3.1,,walkeja01
372,Cody Williams,20,UTA,SG,16,7,18.7,1.1,4.2,.269,0.4,2.3,.189,0.7,1.9,.367,.321,0.4,0.6,.600,0.5,1.8,2.3,1.2,0.4,0.3,0.7,1.3,3.1,,willico04
373,Bol Bol,25,PHO,PF,5,0,4.2,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.8,1.2,.667,0.4,0.6,1.0,0.2,0.0,0.0,0.2,0.2,3.0,,bolbo01
374,David Duke Jr.,25,SAS,SG,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,1.0,2.0,.500,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,,dukeda01
375,Collin Gillespie,25,PHO,PG,1,0,3.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,gilleco01
376,Taze Moore,26,POR,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,,mooreta02
377,Nick Smith Jr.,20,CHO,SG,10,0,7.9,1.2,3.0,.400,0.6,1.6,.375,0.6,1.4,.429,.500,0.0,0.0,,0.1,0.5,0.6,0.8,0.2,0.0,0.2,0.2,3.0,,smithni01
378,Oscar Tshiebwe,25,UTA,PF,1,0,16.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,.750,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0,,tshieos01
379,Charles Bassey,24,SAS,C,12,0,8.5,1.3,2.3,.536,0.0,0.0,,1.3,2.3,.536,.536,0.4,0.7,.625,1.1,1.9,3.0,0.4,0.4,1.0,0.5,1.0,2.9,,bassech01
