Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
130,Chris Boucher,32,TOR,PF,22,0,396,17.6,.574,.494,.276,7.2,19.9,13.5,5.3,1.5,4.1,6.8,21.4,0.6,0.4,1.0,.123,1.8,-0.6,1.2,0.3,,bouchch01
131,P.J. Washington,26,DAL,PF,17,16,560,14.9,.563,.369,.227,5.6,22.2,14.1,10.3,2.1,3.2,13.0,16.8,0.5,0.9,1.4,.118,0.1,1.5,1.7,0.5,,washipj01
132,Chris Paul,39,SAS,PG,21,21,604,16.9,.595,.649,.185,1.7,12.1,7.0,41.0,2.4,0.7,17.3,15.7,1.4,0.7,2.1,.167,1.3,0.8,2.1,0.6,,paulch01
133,Desmond Bane,26,MEM,SG,15,14,416,12.9,.524,.458,.168,3.2,19.7,11.7,18.8,1.4,1.8,13.9,22.9,0.0,0.6,0.7,.078,-1.6,0.2,-1.4,0.1,,banede01
134,Obi Toppin,26,IND,PF,22,0,439,16.8,.625,.447,.143,4.5,16.9,10.7,12.2,1.4,1.9,8.6,18.4,0.8,0.2,1.0,.112,1.5,-0.9,0.6,0.3,,toppiob01
135,Bradley Beal,31,PHO,SG,12,12,398,16.1,.610,.447,.189,1.7,12.0,7.0,15.7,1.7,2.1,10.4,21.4,0.5,0.3,0.8,.101,0.3,0.2,0.6,0.2,,bealbr01
136,Jaden McDaniels,24,MIN,PF,21,21,625,9.9,.524,.428,.139,4.5,9.8,7.2,8.7,1.8,2.5,10.8,15.7,0.1,0.9,1.0,.074,-3.1,1.0,-2.0,0.0,,mcdanja02
137,Toumani Camara,24,POR,PF,22,22,681,10.6,.539,.508,.138,7.5,10.9,9.1,10.2,2.3,1.1,15.4,13.8,0.3,0.4,0.7,.052,-1.7,-0.1,-1.8,0.0,,camarto01
138,Corey Kispert,25,WAS,SF,19,0,525,8.9,.532,.609,.130,1.4,11.9,6.6,7.9,1.1,0.5,9.7,17.1,-0.1,0.0,-0.2,-0.016,-3.0,-2.5,-5.5,-0.5,,kispeco01
139,Luguentz Dort,25,OKC,SG,21,21,614,12.1,.576,.663,.175,5.0,11.1,8.0,8.4,1.8,2.6,7.3,13.4,0.8,1.1,1.9,.146,-0.7,0.9,0.3,0.4,,dortlu01
