Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
107,John Hummer,24,BUF,PF,66,,23.4,3.1,7.0,.444,1.7,3.1,.561,4.9,2.1,2.8,8.0,,hummejo01
108,Don May,27,2TM,SF,58,0,15.8,3.3,7.3,.446,1.3,1.6,.806,3.6,1.1,2.3,7.8,,maydo01
108,Don May,27,ATL,SF,32,,9.9,1.9,4.2,.455,0.7,1.0,.710,2.1,0.7,1.7,4.5,,maydo01
108,Don May,27,PHI,SF,26,0,23.2,4.9,11.2,.441,2.0,2.4,.855,5.5,1.7,3.1,11.9,,maydo01
109,Dave Wohl,23,2TM,PG,78,,24.8,3.3,7.3,.447,1.3,1.7,.774,1.4,4.2,2.9,7.8,,wohlda01
109,Dave Wohl,23,POR,PG,22,,17.9,2.1,5.2,.412,1.1,1.5,.727,0.9,3.1,2.0,5.4,,wohlda01
109,Dave Wohl,23,BUF,PG,56,,27.5,3.7,8.1,.456,1.4,1.8,.790,1.6,4.6,3.3,8.8,,wohlda01
110,Gus Johnson,34,PHO,PF,21,,19.9,3.3,8.6,.381,1.2,1.7,.694,6.5,1.5,2.6,7.8,,johnsgu01
111,Cliff Meely,25,HOU,PF,82,,20.7,3.3,8.0,.408,1.1,1.7,.672,6.0,1.1,3.2,7.7,,meelycl01
112,Jeff Halliburton,23,2TM,SG,55,0,14.3,3.1,7.2,.434,1.3,1.6,.807,2.0,1.7,1.9,7.5,,hallije01
112,Jeff Halliburton,23,ATL,SG,24,,9.9,2.1,4.8,.431,0.9,0.9,.955,1.1,1.2,1.2,5.0,,hallije01
112,Jeff Halliburton,23,PHI,SG,31,0,17.7,3.9,9.0,.436,1.6,2.1,.758,2.6,2.2,2.5,9.5,,hallije01
113,Pat Riley,27,LAL,SG,55,,14.6,3.0,7.1,.428,1.2,1.5,.793,1.2,1.5,2.3,7.3,,rileypa01
114,Fred Hilton,25,BUF,SG,59,,12.4,3.2,8.4,.387,0.7,0.9,.774,1.7,1.3,1.7,7.2,,hiltofr01
115,Greg Smith,26,2TM,SF,76,,21.2,3.1,6.4,.482,1.0,1.7,.586,5.0,1.6,2.9,7.1,,smithgr01
115,Greg Smith,26,HOU,SF,4,,10.3,1.3,4.0,.313,0.0,0.0,,2.0,1.3,2.0,2.5,,smithgr01
115,Greg Smith,26,POR,SF,72,,21.8,3.2,6.5,.488,1.0,1.8,.586,5.2,1.6,2.9,7.4,,smithgr01
116,Johnny Green,39,KCO,PF,66,,18.9,2.9,4.8,.599,1.3,2.0,.679,5.5,0.9,2.8,7.1,,greenjo01
117,Mo Layton,24,PHO,SG,65,,15.2,2.9,6.7,.431,1.4,1.8,.756,1.2,2.1,2.0,7.1,,laytomo01
118,Flynn Robinson,31,2TM,SG,44,,14.3,3.0,6.5,.462,0.7,0.9,.821,1.4,1.9,1.6,6.8,,robinfl01
118,Flynn Robinson,31,LAL,SG,6,,7.8,2.3,4.7,.500,1.0,1.3,.750,1.2,1.3,1.8,5.7,,robinfl01
118,Flynn Robinson,31,BAL,SG,38,,15.3,3.1,6.8,.458,0.7,0.8,.839,1.4,2.0,1.6,6.9,,robinfl01
119,Lamar Green,25,PHO,PF,80,,25.6,2.8,6.5,.431,1.1,1.5,.754,9.3,1.1,3.3,6.7,,greenla01
120,Rick Adelman,26,POR,PG,76,,24.0,2.8,6.9,.408,1.0,1.3,.716,2.1,3.9,2.0,6.6,,adelmri01
121,Butch Beard,25,SEA,PG,73,,19.2,2.6,6.0,.439,1.4,1.9,.714,2.4,3.4,1.9,6.6,,beardbu01
122,Kevin Porter,22,BAL,PG,71,,17.1,2.9,6.4,.455,0.9,1.4,.614,1.0,3.3,2.9,6.6,,porteke01
123,Lee Winfield,25,SEA,PG,53,,20.0,2.7,6.3,.431,1.2,2.0,.574,2.4,3.5,1.7,6.6,,winfile01
124,Steve Bracey,22,ATL,PG,70,,15.0,2.7,5.6,.486,1.0,1.6,.664,1.5,1.8,1.8,6.5,,bracest01
125,Barry Clemens,29,CLE,SF,72,,15.5,2.9,5.6,.516,0.7,0.9,.779,2.9,1.6,1.9,6.5,,clemeba01
