Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
127,Larry Wright,23,WSB,PG,70,,20.9,4.0,8.1,.496,1.1,1.5,.710,0.4,1.0,1.5,3.7,1.0,0.2,1.9,2.8,9.2,,wrighla01
128,Henry Bibby,28,PHI,PG,82,82,30.7,3.5,8.0,.434,2.1,2.7,.781,0.8,2.3,3.1,5.7,1.1,0.1,1.9,2.5,9.1,,bibbyhe01
129,Louie Dampier,33,SAS,PG,82,,24.8,4.1,8.0,.509,0.9,1.2,.752,0.3,1.2,1.5,3.5,1.1,0.2,1.2,1.0,9.1,,dampilo01
130,Mike Gale,27,SAS,SG,70,,29.9,3.9,8.3,.473,1.2,1.4,.870,0.8,2.4,3.2,5.4,2.3,0.4,2.5,2.4,9.1,,galemi01
131,Bird Averitt,25,2TM,SG,55,,19.7,3.6,8.8,.409,1.8,2.6,.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0,,averibi01
131,Bird Averitt,25,NJN,SG,21,,19.5,3.3,9.0,.367,1.7,2.1,.800,0.3,1.2,1.6,3.2,0.8,0.0,2.6,1.8,8.3,,averibi01
131,Bird Averitt,25,BUF,SG,34,,19.9,3.8,8.7,.436,1.9,2.8,.667,0.3,1.2,1.5,3.8,0.6,0.2,2.6,2.5,9.5,,averibi01
132,Ken Charles,26,ATL,SG,21,,24.8,3.5,8.8,.397,2.0,2.4,.840,0.3,0.9,1.1,3.9,1.2,0.2,1.8,2.5,9.0,,charlke01
133,Foots Walker,26,CLE,PG,81,,30.8,3.5,7.9,.448,2.0,2.7,.719,0.9,2.7,3.6,5.6,2.2,0.3,2.2,2.7,9.0,,walkefo01
134,Terry Furlow,23,CLE,SG,53,,15.6,3.6,8.4,.433,1.7,1.9,.889,0.9,1.1,2.0,1.4,0.4,0.3,1.5,1.3,8.9,,furlote01
135,Dave Twardzik,27,POR,PG,75,,24.3,3.2,5.5,.592,2.4,3.1,.782,0.5,1.3,1.8,3.3,1.4,0.1,2.1,2.5,8.9,,twardda01
136,Bob Carrington,24,2TM,SG,72,,23.0,3.5,8.2,.430,1.8,2.4,.760,1.0,1.4,2.4,1.6,0.9,0.3,1.6,2.8,8.8,,carribo01
136,Bob Carrington,24,NJN,SG,37,,27.9,4.2,10.6,.401,1.9,2.6,.742,1.1,1.9,3.0,1.5,1.2,0.3,1.8,3.6,10.4,,carribo01
136,Bob Carrington,24,IND,SG,35,,17.7,2.7,5.6,.487,1.7,2.1,.784,0.8,1.0,1.8,1.8,0.6,0.3,1.5,2.1,7.1,,carribo01
137,Joe Meriweather,24,NOJ,C,54,,23.6,3.6,7.6,.472,1.6,2.5,.654,2.5,4.4,6.9,1.1,0.3,2.2,1.7,3.5,8.8,,meriwjo01
138,Clifford Ray,29,GSW,C,79,,28.7,3.4,6.0,.571,1.9,3.1,.609,3.0,6.6,9.6,1.9,0.9,1.1,1.9,3.7,8.8,,raycl01
139,Cazzie Russell,33,CHI,SF,36,5,21.9,3.7,8.4,.438,1.4,1.6,.860,0.9,1.4,2.3,1.7,0.5,0.1,1.0,1.8,8.8,,russeca01
140,Jim Price,28,2TM,PG,83,,23.2,3.5,7.9,.448,1.6,2.0,.799,0.7,2.4,3.1,3.1,1.4,0.1,2.1,2.4,8.7,,priceji01
140,Jim Price,28,DEN,PG,49,,22.2,2.9,6.0,.481,1.0,1.3,.773,0.6,2.6,3.2,3.2,1.4,0.1,2.1,2.4,6.8,,priceji01
140,Jim Price,28,DET,PG,34,,24.7,4.5,10.7,.421,2.5,3.0,.816,0.8,2.2,3.0,3.0,1.3,0.1,2.2,2.4,11.5,,priceji01
