Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
48,World B. Free,23,PHI,SG,78,37,28.9,6.0,13.1,.457,4.3,5.9,.720,1.2,1.8,3.0,3.4,1.0,0.3,2.7,16.3,,freewo01
49,Austin Carr,28,CLE,SG,82,,29.4,6.8,14.9,.457,2.6,3.3,.795,1.5,1.5,2.9,2.7,0.7,0.1,2.7,16.2,,carrau01
50,Billy Paultz,28,SAS,C,82,82,32.9,6.4,13.4,.473,2.9,3.9,.744,2.3,6.0,8.4,2.7,0.7,2.1,3.2,15.6,,paultbi01
51,Scott Wedman,24,KCK,SF,81,,33.9,6.4,14.0,.460,2.5,3.0,.855,2.3,3.9,6.2,2.8,1.2,0.3,2.8,15.4,,wedmasc01
52,Bobby Jones,25,DEN,PF,82,82,29.5,6.1,10.7,.570,2.9,4.0,.717,2.1,6.1,8.3,3.2,2.3,2.0,2.9,15.1,AS,jonesbo01
53,John Shumate,24,BUF,PF,74,,35.1,5.5,10.9,.502,4.1,6.1,.671,2.2,7.3,9.5,2.1,1.2,1.1,2.7,15.1,,shumajo01
54,Sidney Wicks,27,BOS,PF,82,,32.2,5.7,12.3,.458,3.8,5.7,.668,3.3,6.8,10.0,2.1,0.8,0.7,4.0,15.1,,wickssi01
55,Wilbur Holland,25,CHI,SG,79,70,31.1,6.4,14.2,.454,2.0,2.4,.823,1.0,2.2,3.2,3.2,2.1,0.2,2.5,14.9,,hollawi01
56,Lionel Hollins,23,POR,PG,76,,29.3,5.9,13.8,.432,2.8,3.8,.749,0.7,2.1,2.8,4.1,2.2,0.5,3.5,14.7,,hollili01
57,Lucius Allen,29,LAL,PG,78,,31.8,6.1,13.3,.456,2.5,3.2,.774,0.7,2.5,3.2,5.2,1.5,0.2,2.3,14.6,,allenlu01
58,Scott May,22,CHI,SF,72,61,32.9,6.0,13.3,.451,2.6,3.2,.828,2.0,4.1,6.1,2.0,1.1,0.2,2.6,14.6,,maysc01
59,Bingo Smith,30,CLE,SF,81,,26.4,6.3,14.2,.446,1.8,2.2,.818,1.1,2.8,3.9,1.9,0.8,0.4,2.6,14.5,,smithbi02
60,Junior Bridgeman,23,MIL,SF,82,,29.4,6.0,13.3,.449,2.4,2.8,.864,1.6,3.5,5.1,2.5,1.0,0.3,2.7,14.4,,bridgju01
61,Dan Roundfield,23,IND,PF,61,,27.0,5.6,12.0,.466,2.7,3.9,.686,2.9,5.6,8.5,1.1,1.0,2.1,4.0,13.9,,roundda01
62,Ricky Sobers,24,PHO,SG,79,,25.4,5.2,10.6,.496,3.1,3.7,.841,1.0,1.9,3.0,3.0,1.2,0.2,3.3,13.6,,soberri01
63,M.L. Carr,26,DET,SF,82,,32.2,5.4,11.4,.476,2.5,3.4,.735,2.6,5.1,7.7,2.2,2.0,0.7,3.5,13.3,,carrml01
64,Moses Malone,21,2TM,C,82,,30.6,4.7,9.9,.480,3.7,5.4,.693,5.3,7.7,13.1,1.1,0.8,2.2,3.4,13.2,MVP-6,malonmo01
64,Moses Malone,21,BUF,C,2,,3.0,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,,malonmo01
64,Moses Malone,21,HOU,C,80,,31.3,4.9,10.1,.480,3.8,5.5,.693,5.5,7.9,13.4,1.1,0.8,2.3,3.4,13.5,,malonmo01
65,Howard Porter,28,DET,PF,78,,28.2,6.0,12.3,.483,1.3,1.5,.858,2.0,3.9,5.9,0.7,0.6,0.9,2.6,13.2,,porteho01
66,Wil Jones,29,IND,PF,80,,33.9,5.5,12.7,.430,2.1,2.8,.744,2.7,4.8,7.6,2.4,1.3,1.0,3.8,13.0,,joneswi02
67,Swen Nater,27,MIL,C,72,,27.2,5.3,10.1,.528,2.4,3.2,.754,3.7,8.3,12.0,1.5,0.8,0.7,3.0,13.0,,natersw01
68,Richard Washington,21,KCK,PF,82,,27.6,5.4,12.6,.431,2.2,3.1,.697,2.5,6.1,8.5,1.0,0.8,1.1,4.0,13.0,,washiri01
69,Slick Watts,25,SEA,PG,79,,33.3,5.4,12.8,.422,2.2,3.7,.587,1.0,2.9,3.9,8.0,2.7,0.3,3.2,13.0,,wattssl01
70,Jim Chones,27,CLE,C,82,,29.0,5.5,11.9,.463,1.9,2.6,.731,2.5,5.9,8.4,1.3,0.4,0.9,3.1,12.9,,choneji01
71,Mike Newlin,28,HOU,SG,82,,25.8,4.7,10.4,.455,3.3,3.7,.885,0.6,1.8,2.5,3.9,0.7,0.0,2.8,12.7,,newlimi01
72,Gail Goodrich,33,NOJ,SG,27,,22.6,5.0,11.3,.446,2.5,3.1,.800,0.9,1.3,2.3,2.7,0.8,0.1,1.6,12.6,,goodrga01
73,Al Skinner,24,NYN,SG,79,,28.6,4.8,11.2,.431,2.9,3.7,.791,1.4,3.2,4.6,3.7,1.3,0.7,3.5,12.6,,skinnal01
74,Mike Bantom,25,2TM,SF,77,,24.8,4.7,9.8,.478,2.9,4.0,.723,2.4,3.7,6.1,1.3,0.8,0.6,3.0,12.3,,bantomi01
74,Mike Bantom,25,SEA,PF,44,,18.1,3.1,6.4,.488,1.3,1.9,.690,1.9,2.3,4.2,1.2,0.8,0.5,2.6,7.5,,bantomi01
74,Mike Bantom,25,NYN,SF,33,,33.8,6.8,14.4,.473,5.0,6.8,.735,3.1,5.6,8.6,1.5,0.8,0.8,3.6,18.6,,bantomi01
75,Chris Ford,28,DET,SG,82,82,31.0,5.3,11.2,.476,1.6,2.1,.771,1.2,2.1,3.3,4.1,2.2,0.3,2.3,12.3,,fordch01
76,Nate Williams,26,NOJ,SF,79,,22.5,5.2,11.6,.451,1.8,2.5,.753,1.4,2.5,3.9,1.2,1.0,0.2,2.5,12.3,,willina01
77,Dave Robisch,27,IND,C,80,,24.6,4.6,10.1,.455,2.7,3.2,.832,2.1,4.8,6.9,2.0,0.7,0.5,2.1,11.9,,robisda01
78,Lonnie Shelton,21,NYK,PF,82,57,25.7,4.9,10.2,.476,1.9,2.7,.707,2.7,5.0,7.7,1.8,1.5,1.2,4.4,11.6,,sheltlo01
79,Nick Weatherspoon,26,2TM,SF,62,,26.7,5.0,11.1,.449,1.5,2.3,.632,1.9,5.0,6.9,0.9,0.8,0.5,2.7,11.5,,weathni01
79,Nick Weatherspoon,26,WSB,SF,11,,13.8,2.5,6.9,.355,0.5,0.7,.625,1.0,1.2,2.2,0.2,0.3,0.5,1.7,5.4,,weathni01
79,Nick Weatherspoon,26,SEA,SF,51,,29.5,5.5,12.0,.461,1.7,2.7,.632,2.1,5.8,7.9,1.0,1.0,0.5,2.9,12.8,,weathni01
80,Allan Bristow,25,SAS,SF,82,,24.6,4.5,9.1,.489,2.5,3.1,.798,1.5,2.8,4.2,2.9,1.1,0.0,2.4,11.4,,bristal01
81,Bob Gross,23,POR,SF,82,,27.2,4.6,8.7,.529,2.2,2.6,.851,2.1,2.7,4.8,3.0,1.3,0.7,3.1,11.4,,grossbo01
82,Tom Henderson,25,2TM,PG,87,,32.1,4.3,9.5,.449,2.7,3.6,.744,0.5,2.3,2.7,6.9,1.6,0.2,1.7,11.2,,hendeto01
82,Tom Henderson,25,ATL,PG,46,,34.1,4.3,9.8,.433,2.7,3.7,.750,0.4,2.3,2.7,8.4,1.7,0.2,1.6,11.3,,hendeto01
82,Tom Henderson,25,WSB,PG,41,,29.8,4.3,9.1,.469,2.6,3.5,.738,0.6,2.2,2.8,5.2,1.4,0.2,1.8,11.1,,hendeto01
83,Ken Charles,25,ATL,SG,82,,30.3,4.3,10.4,.414,2.5,3.1,.801,0.5,1.5,2.0,3.6,1.7,0.5,2.9,11.1,,charlke01
84,John Lucas,23,HOU,SG,82,,30.9,4.7,9.9,.477,1.6,2.1,.789,0.7,2.0,2.7,5.6,1.5,0.2,2.1,11.1,ROY-2,lucasjo01
85,Joe Meriweather,23,ATL,C,74,,27.9,4.3,8.2,.526,2.5,3.4,.714,2.9,5.1,8.1,1.1,0.6,1.1,4.4,11.1,,meriwjo01
86,Bruce Seals,23,SEA,PF,81,,24.4,4.7,10.5,.444,1.7,2.4,.708,1.5,2.9,4.4,1.1,0.6,0.7,3.2,11.0,,sealsbr01
87,Ralph Simpson,27,DET,SG,77,,20.7,4.6,10.8,.427,1.8,2.5,.708,0.6,1.7,2.4,2.3,0.9,0.1,1.3,11.0,,simpsra01
88,Aaron James,24,NOJ,SF,52,,20.4,4.6,9.3,.490,1.7,2.2,.781,1.1,2.5,3.6,1.1,0.4,0.1,2.4,10.9,,jamesaa01
89,Ernie DiGregorio,26,BUF,PG,81,,28.0,4.5,10.8,.417,1.7,1.8,.945,0.6,1.6,2.3,4.7,0.7,0.0,1.9,10.7,,digreer01
90,Darnell Hillman,27,IND,C,82,,28.1,4.4,9.9,.443,2.0,3.0,.660,2.8,5.7,8.5,2.0,1.2,1.3,4.3,10.7,,hillmda01
91,Curtis Perry,28,PHO,PF,44,,31.6,4.1,9.4,.432,2.5,3.2,.789,3.4,5.6,9.0,1.8,1.1,0.6,3.7,10.7,,perrycu01
92,Dave Bing,33,WSB,SG,64,,23.7,4.2,9.3,.454,2.1,2.8,.773,0.8,1.4,2.2,4.3,1.0,0.1,2.3,10.6,,bingda01
93,Rich Jones,30,NYN,SF,34,,25.8,3.9,10.2,.385,2.7,3.6,.760,1.4,4.3,5.7,1.4,1.1,0.3,3.2,10.6,,jonesri01
94,Sam Lacey,28,KCK,C,82,,31.6,4.0,9.4,.422,2.6,3.4,.762,2.3,6.6,9.0,4.7,1.5,1.6,3.6,10.6,,laceysa01
95,Jim McElroy,23,NOJ,PG,73,,27.8,4.1,8.8,.470,2.3,3.0,.779,0.8,1.8,2.5,3.6,0.8,0.1,1.6,10.6,,mcelrji01
96,Steve Mix,29,PHI,SF,75,9,26.1,3.8,7.3,.523,2.9,3.5,.817,1.7,3.3,5.0,2.0,1.2,0.3,2.2,10.5,,mixst01
97,Jim Cleamons,27,CLE,PG,60,,34.1,4.3,9.9,.434,1.9,2.5,.757,1.7,2.9,4.6,5.1,1.1,0.4,2.1,10.4,,cleamji01
98,Mitch Kupchak,22,WSB,C,82,,18.5,4.2,7.3,.572,2.1,3.0,.691,2.2,3.8,6.0,0.8,0.3,0.4,2.5,10.4,,kupchmi01
99,Mark Olberding,20,SAS,PF,82,,23.8,3.7,7.3,.503,3.1,3.9,.794,2.0,3.5,5.5,1.5,0.7,0.4,3.4,10.4,,olberma01
100,Mike Gale,26,SAS,SG,82,,31.7,4.3,9.2,.468,1.7,2.0,.820,0.7,2.7,3.3,5.8,2.3,0.6,2.7,10.3,,galemi01
101,Bill Robinzine,24,KCK,PF,75,,21.3,4.1,9.0,.453,2.1,2.9,.736,2.2,4.1,6.3,1.3,1.1,0.2,3.8,10.3,,robinbi01
102,Larry Steele,27,POR,SG,81,,20.7,4.0,8.0,.500,2.3,2.8,.806,0.9,1.4,2.3,2.1,1.5,0.2,2.7,10.3,,steella01
