Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
11,Indiana Pacers,1-3,3-0,2-1,3-0,3-0,,1-0,1-2,0-1,,,,1-0,2-2,3-0,,3-1,2-1,1-2,1-2,,0-1,,,,2-1,,1-0,3-0
12,Los Angeles Clippers,0-1,0-1,,0-1,,0-3,0-3,,1-2,1-3,,,0-4,,,2-2,1-0,0-1,,,0-3,1-2,1-2,0-3,0-3,0-1,1-3,1-3,
13,Los Angeles Lakers,,,1-0,,0-1,3-0,2-1,,2-1,2-1,0-1,4-0,,,,2-1,,1-0,1-0,0-1,3-1,2-2,1-2,2-1,2-2,,1-3,2-1,
14,Miami Heat,3-0,0-3,2-1,2-1,3-0,1-0,1-0,1-2,,1-0,2-2,,,,2-1,0-1,3-1,2-2,2-1,2-1,,,,,,3-0,0-1,,3-0
15,Milwaukee Bucks,2-1,3-0,2-2,3-1,2-1,,0-1,1-2,1-0,,0-3,,,1-2,,1-0,2-1,2-1,1-2,1-2,0-1,,,,1-0,3-1,,,2-1
16,Minnesota Timberwolves,,1-0,,,,2-1,3-0,1-0,2-2,1-2,,2-2,1-2,1-0,0-1,,,0-1,,,1-2,0-3,3-1,2-2,2-1,0-1,0-3,3-1,
17,New Jersey Nets,2-1,2-1,0-3,1-2,0-3,1-0,0-1,1-2,,0-1,1-3,0-1,,1-3,1-2,,,0-3,0-3,1-2,,0-1,,,1-0,2-1,,,2-1
18,New York Knicks,1-2,2-1,3-1,2-1,2-1,,,1-2,,,1-2,1-0,0-1,2-2,1-2,1-0,3-0,,0-3,3-1,1-0,,0-1,,,1-2,,,2-1
19,Orlando Magic,2-2,2-1,2-1,3-0,2-1,0-1,,4-0,1-0,1-0,2-1,,0-1,1-2,2-1,,3-0,3-0,,1-2,,,1-0,0-1,,1-2,,,2-1
20,Philadelphia 76ers,1-2,2-1,2-1,2-1,2-1,,,3-1,,,2-1,,1-0,1-2,2-1,,2-1,1-3,2-1,,,0-1,1-0,0-1,0-1,2-1,,1-0,1-2
21,Phoenix Suns,0-1,,0-1,,0-1,3-1,3-0,0-1,2-1,2-2,,3-0,1-3,,1-0,2-1,,0-1,,,,0-3,0-3,2-2,3-0,,2-2,3-0,
22,Portland Trail Blazers,,1-0,0-1,,,3-0,3-0,,2-2,1-2,1-0,2-1,2-2,,,3-0,1-0,,,1-0,3-0,,4-0,1-3,2-2,,1-2,3-0,1-0
23,Sacramento Kings,,1-0,1-0,,,2-2,3-0,,2-1,0-3,,2-1,2-1,,,1-3,,1-0,0-1,0-1,3-0,0-4,,1-2,2-2,,1-2,4-0,1-0
24,San Antonio Spurs,,,,1-0,0-1,3-1,4-0,1-0,3-0,3-0,,3-0,1-2,,,2-2,,,1-0,1-0,2-2,3-1,2-1,,2-1,0-1,2-1,3-0,
25,Seattle SuperSonics,,,,1-0,,3-0,2-2,0-1,2-1,1-2,,3-0,2-2,,0-1,1-2,0-1,,,1-0,0-3,2-2,2-2,1-2,,,2-2,2-1,0-1
26,Toronto Raptors,1-2,2-1,1-2,2-1,2-2,,,1-2,,0-1,1-2,1-0,,0-3,1-3,1-0,1-2,2-1,2-1,1-2,,,,1-0,,,,1-0,2-2
27,Utah Jazz,,,0-1,1-0,1-0,3-0,2-1,0-1,4-0,3-0,,3-1,3-1,1-0,,3-0,,,,,2-2,2-1,2-1,1-2,2-2,,,3-0,1-0
28,Vancouver Grizzlies,0-1,0-1,,0-1,,1-2,1-3,,0-3,0-4,0-1,3-1,1-2,,,1-3,,,,0-1,0-3,0-3,0-4,0-3,1-2,0-1,0-3,,
29,Washington Wizards,1-2,1-3,1-2,2-1,2-1,,1-0,1-2,0-1,,0-3,,,0-3,1-2,,1-2,1-2,1-2,2-1,,0-1,0-1,,1-0,2-2,0-1,,
