Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
19,Sam Jones,28,BOS,SG,78,30.6,7.6,16.5,.464,3.1,3.8,.818,5.9,3.0,1.9,18.4,AS,jonessa01
20,Lenny Wilkens,24,STL,PG,20,43.5,7.0,18.2,.385,4.2,5.5,.764,6.6,5.8,3.2,18.2,,wilkele01
21,Rudy LaRusso,24,LAL,PF,80,34.4,6.5,13.9,.466,4.3,5.6,.763,10.4,2.2,3.2,17.2,AS,larusru01
22,Don Ohl,25,DET,SG,77,32.8,7.2,16.2,.444,2.6,3.6,.718,3.5,3.2,2.2,17.0,,ohldo01
23,Lee Shaffer,22,SYR,SF,75,27.8,6.9,15.7,.436,3.2,4.1,.771,6.8,1.3,3.5,16.9,,shaffle01
24,Dave Gambee,24,SYR,SF,80,28.8,6.0,14.1,.424,4.8,5.9,.817,7.9,1.4,3.4,16.7,,gambeda01
25,Red Kerr,29,SYR,C,80,34.6,6.8,15.3,.443,2.8,3.8,.735,14.7,3.0,3.4,16.3,,kerrre01
26,Slick Leonard,29,CHP,PG,70,35.2,6.0,16.1,.375,4.0,5.3,.752,2.8,5.4,2.7,16.1,,leonasl01
27,Johnny Green,28,NYK,PF,80,34.9,6.3,14.6,.436,3.3,5.4,.601,13.3,2.4,3.3,15.9,AS,greenjo01
28,Bucky Bockhorn,28,CIN,SG,80,38.3,6.6,15.4,.430,2.5,3.1,.789,4.7,4.6,3.5,15.8,,bockhbu01
29,Bob Cousy,33,BOS,PG,75,28.2,6.2,15.7,.391,3.3,4.4,.754,3.5,7.8,1.8,15.7,MVP-8ASNBA2,cousybo01
30,Frank Ramsey,30,BOS,SG,79,24.2,5.5,12.9,.428,4.2,5.1,.825,4.9,1.4,3.1,15.3,,ramsefr01
31,Dolph Schayes,33,SYR,PF,56,26.4,4.8,13.4,.357,5.1,5.7,.897,7.8,2.1,3.0,14.7,AS,schaydo01
32,Frank Selvy,29,LAL,SG,79,35.5,5.5,13.1,.420,3.8,5.1,.738,5.2,4.8,2.9,14.7,AS,selvyfr01
