Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
18,New York Knicks,2-2,2-3,4-0,0-4,0-4,2-0,2-0,2-2,1-1,1-1,3-1,2-0,0-2,4-1,3-1,2-0,3-2,,4-1,3-1,1-1,1-1,1-1,0-2,2-0,2-0,4-0
19,Orlando Magic,2-2,0-5,1-3,1-3,1-3,1-1,0-2,0-4,0-2,0-2,2-2,0-2,0-2,1-3,1-3,2-0,1-3,1-4,,3-2,0-2,0-2,0-2,1-1,1-1,0-2,2-3
20,Philadelphia 76ers,2-2,1-3,1-3,1-3,0-4,2-0,0-2,1-3,1-1,1-1,2-2,1-1,0-2,4-1,1-3,2-0,2-3,1-3,2-3,,0-2,1-1,1-1,1-1,2-0,0-2,5-0
21,Phoenix Suns,0-2,1-1,1-1,1-1,1-1,2-2,3-1,2-0,2-3,3-1,1-1,2-3,3-2,2-0,2-0,4-0,1-1,1-1,2-0,2-0,,3-2,4-1,3-1,3-2,2-2,2-0
22,Portland Trail Blazers,2-0,1-1,2-0,0-2,2-0,4-0,3-1,0-2,3-2,1-3,2-0,3-2,4-1,2-0,2-0,4-0,1-1,1-1,2-0,1-1,2-3,,5-0,2-2,4-1,2-2,2-0
23,Sacramento Kings,1-1,0-2,1-1,0-2,0-2,3-1,2-2,0-2,0-5,1-3,1-1,3-2,1-4,0-2,2-0,3-1,1-1,1-1,2-0,1-1,1-4,0-5,,1-3,1-4,1-3,2-0
24,San Antonio Spurs,2-0,1-1,0-2,1-1,1-1,5-0,4-1,1-1,2-2,2-3,0-2,2-2,3-1,1-1,1-1,6-0,1-1,2-0,1-1,1-1,1-3,2-2,3-1,,3-1,1-4,0-2
25,Seattle SuperSonics,1-1,0-2,1-1,0-2,1-1,4-0,3-1,1-1,2-3,3-1,2-0,3-2,4-1,1-1,1-1,4-0,2-0,0-2,1-1,0-2,2-3,1-4,4-1,1-3,,3-1,2-0
26,Utah Jazz,1-1,1-1,2-0,1-1,1-1,4-1,5-1,1-1,3-1,4-1,1-1,3-1,3-1,1-1,1-1,3-2,2-0,0-2,2-0,2-0,2-2,2-2,3-1,4-1,1-3,,2-0
27,Washington Bullets,2-2,1-3,2-2,0-4,0-4,2-0,1-1,1-3,0-2,0-2,2-2,2-0,1-1,0-5,1-3,2-0,3-2,0-4,3-2,0-5,0-2,0-2,0-2,2-0,0-2,0-2,
